"n","k","usrtime","systime","elapstime"
100,10,2.118,3.362,5.54000000000001
100,10,2.213,3.534,5.764
100,10,2.123,3.415,5.554
100,10,2.182,3.453,5.653
100,10,2.146,3.457,5.621
1000,10,2.722,3.838,6.575
1000,10,2.736,3.803,6.56
1000,10,2.743,3.816,6.573
1000,10,2.785,3.755,6.556
1000,10,2.791,3.786,6.595
5000,10,5.966,4.353,10.334
5000,10,5.873,4.441,10.332
5000,10,5.838,4.442,10.298
5000,10,5.962,4.362,10.339
5000,10,5.94,4.325,10.281
10000,10,9.844,4.63,14.492
10000,10,9.772,4.688,14.476
10000,10,9.78,4.651,14.457
10000,10,9.665,4.726,14.413
10000,10,9.699,4.674,14.397
1e+05,10,85.241,9.236,94.533
1e+05,10,85.18,9.385,94.613
1e+05,10,85.014,9.235,94.279
1e+05,10,85.067,9.218,94.329
1e+05,10,85.165,9.23,94.437
250000,10,212.154,16.089,228.335
250000,10,212.092,15.999,228.161
250000,10,212.318,16.074,228.466
250000,10,212.202,16.157,228.445
250000,10,212.101,16.04,228.343
5e+05,10,421.514,28.781,450.456
5e+05,10,422.251,28.891,451.29
5e+05,10,422.175,28.788,451.088
5e+05,10,421.111,28.714,449.975
5e+05,10,422.329,28.994,451.474
1e+06,10,842.151,54.669,897.053
1e+06,10,841.346,54.775,896.636
1e+06,10,841.096,54.791,896.144
1e+06,10,849.585,48.232,899.354
1e+06,10,839.86,55.034,895.224
1250000,10,1043.614,69.215,1113.152
1250000,10,1043.608,69.567,1114.577
1250000,10,1042.591,69.524,1112.839
1250000,10,1042.323,69.321,1111.926
1250000,10,1044.276,69.522,1114.108
