"n","k","usrtime","systime","elapstime"
100,10,3.391,3.478,6.87099999999998
100,10,3.398,3.494,6.89300000000003
100,10,3.61,3.584,7.197
100,10,3.619,3.481,7.101
100,10,3.906,3.528,7.44100000000003
100,10,3.815,3.497,7.31600000000003
100,10,4.121,3.532,7.654
100,10,4.058,3.502,7.56399999999996
100,10,4.37,3.508,7.87900000000002
100,10,4.295,3.47000000000001,7.76899999999989
1000,10,4.341,4.008,8.354
1000,10,4.369,4.034,8.409
1000,10,4.621,4.083,8.708
1000,10,4.715,4.069,8.791
1000,10,5.057,4.017,9.081
1000,10,5.244,3.922,9.17
1000,10,5.417,4.017,9.44
1000,10,5.386,4.091,9.48
1000,10,5.868,3.962,9.83799999999999
1000,10,5.83,4.058,9.895
5000,10,10.943,4.574,15.519
5000,10,11.188,4.656,15.853
5000,10,11.386,4.577,15.973
5000,10,10.133,4.575,14.717
5000,10,10.492,4.535,15.027
5000,10,10.603,4.56,15.165
5000,10,11.001,4.527,15.538
5000,10,11.039,4.588,15.63
5000,10,11.642,4.487,16.14
5000,10,11.528,4.499,16.038
10000,10,16.249,5.172,21.426
10000,10,16.552,5.133,21.698
10000,10,18.116,5.04,23.164
10000,10,19.306,4.985,24.295
10000,10,17.272,5.046,22.321
10000,10,18.355,5.072,23.435
10000,10,19.555,5.013,24.577
10000,10,18.736,4.92400000000001,23.668
10000,10,18.512,4.98699999999999,23.503
10000,10,19.223,4.913,24.15
1e+05,10,103.421,10.531,113.994
1e+05,10,103.258,10.841,114.148
1e+05,10,101.072,10.362,111.473
1e+05,10,101.257,10.108,111.4
1e+05,10,103.594,11.05,114.762
1e+05,10,101.816,10.997,112.858
1e+05,10,104.678,11.054,116.378
1e+05,10,104.824,10.763,115.603
1e+05,10,102.55,11.113,113.691
1e+05,10,104.517,10.079,114.601
1e+06,10,783.879,165.169,949.227
1e+06,10,780.802,180.438,961.363
1e+06,10,783.39,183.644,967.166
1e+06,10,794.823,168.349,963.303
1e+06,10,811.773000000001,145.901,957.757000000001
1e+06,10,810.315,144.177,954.672
1e+06,10,804.203,156.244,960.578
1e+06,10,812.883,149.649,962.654999999999
1e+06,10,814.227,140.607,954.956
1e+06,10,823.696,158.007,981.926
