"n","k","usrtime","systime","elapstime"
100,10,3.183,3.499,6.687
100,10,3.098,3.519,6.626
100,10,3.144,3.494,6.645
100,10,3.118,3.519,6.641
100,10,3.183,3.541,6.727
1000,10,4.018,4.035,8.063
1000,10,3.946,4.089,8.037
1000,10,3.875,4.119,7.997
1000,10,4.045,4.033,8.081
1000,10,3.944,4.068,8.016
5000,10,10.362,4.643,15.011
5000,10,10.411,4.52,14.936
5000,10,10.808,4.71,15.526
5000,10,10.865,4.595,15.463
5000,10,10.516,4.553,15.074
10000,10,18.006,5.211,23.223
10000,10,18.501,5.074,23.593
10000,10,18.957,5.095,24.062
10000,10,20.298,5.088,25.391
10000,10,18.743,5,23.751
1e+05,10,100.933,11.23,112.177
1e+05,10,101.657,11.182,112.878
1e+05,10,96.649,11.578,108.239
1e+05,10,94.151,11.334,105.498
1e+05,10,92.089,11.018,103.12
250000,10,209.777,18.646,228.453
250000,10,208.987,19.358,228.372
250000,10,208.078,19.515,227.62
250000,10,207.621,19.487,227.13
250000,10,206.915,20.144,227.094
5e+05,10,403.878,36.841,440.791
5e+05,10,408.414,38.529,447.004
5e+05,10,399.121,39.527,438.718
5e+05,10,401.74,40.403,442.224
5e+05,10,407.735,39.106,446.944
1e+06,10,764.67,158.614,923.359
1e+06,10,747.833,167.77,915.762
1e+06,10,750.334,186.633,937.134
1e+06,10,750.629,159.871,910.594
1e+06,10,758.911,131.186,890.277
1250000,10,938.965,196.197,1135.433
1250000,10,935.046,220.288,1155.683
1250000,10,930.553,226.645,1157.432
1250000,10,911.517,240.826,1152.607
1250000,10,926.366,232.239,1158.778
1500000,10,1141.115,285.187,1426.646
1500000,10,1117.404,299.397,1418.138
1500000,10,1124.427,286.397,1411.131
1500000,10,1120.567,307.905,1428.749
1500000,10,1138.824,300.654,1443.789
2e+06,10,1521.142,382.471,1906.024
2e+06,10,1488.229,367.741,1856.399
2e+06,10,1509.569,380.602,1915.411
2e+06,10,1515.405,390.121,1928.788
2e+06,10,1508.06,390.667,1916.588
100,5,0.067,0.0909999999999993,0.157999999999998
100,5,0.073,0.0849999999999991,0.371
100,5,0.075,0.0839999999999996,0.157999999999999
100,5,0.081,0.077,0.159000000000001
100,5,0.0780000000000001,0.082,0.161
1000,5,0.079,0.109999999999999,0.19
1000,5,0.081,0.109,0.189
1000,5,0.088,0.0999999999999996,0.188000000000001
1000,5,0.088,0.101000000000001,0.187999999999999
1000,5,0.095,0.0950000000000006,0.19
5000,5,0.281,0.103,0.385
5000,5,0.285,0.114000000000001,0.399999999999999
5000,5,0.231,0.109999999999999,0.341000000000001
5000,5,0.285,0.0999999999999996,0.385
5000,5,0.259,0.116000000000001,0.375
10000,5,0.483,0.129999999999999,0.612000000000002
10000,5,0.471,0.121,0.593
10000,5,0.508,0.136999999999999,0.645
10000,5,0.507,0.119,0.625999999999999
10000,5,0.48,0.125,0.604999999999999
1e+05,5,2.663,0.298,2.961
1e+05,5,2.594,0.290000000000001,2.883
1e+05,5,2.63,0.318999999999999,2.95
1e+05,5,2.489,0.305999999999999,2.795
1e+05,5,2.752,0.273,3.027
250000,5,5.366,0.563999999999998,5.928
250000,5,5.342,0.540999999999999,5.881
250000,5,5.351,0.616999999999999,5.966
250000,5,5.176,0.52,5.697
250000,5,5.361,0.526999999999999,5.887
5e+05,5,10.474,0.953999999999999,11.424
5e+05,5,9.537,0.993,10.531
5e+05,5,9.631,1.034,10.668
5e+05,5,9.378,1.026,10.402
5e+05,5,9.748,0.987,10.735
