"n","k","usrtime","systime","elapstime"
100,10,2.118,3.362,5.54000000000001
100,10,2.213,3.534,5.764
100,10,2.123,3.415,5.554
100,10,2.182,3.453,5.653
100,10,2.146,3.457,5.621
1000,10,2.722,3.838,6.575
1000,10,2.736,3.803,6.56
1000,10,2.743,3.816,6.573
1000,10,2.785,3.755,6.556
1000,10,2.791,3.786,6.595
5000,10,5.966,4.353,10.334
5000,10,5.873,4.441,10.332
5000,10,5.838,4.442,10.298
5000,10,5.962,4.362,10.339
5000,10,5.94,4.325,10.281
10000,10,9.844,4.63,14.492
10000,10,9.772,4.688,14.476
10000,10,9.78,4.651,14.457
10000,10,9.665,4.726,14.413
10000,10,9.699,4.674,14.397
1e+05,10,85.241,9.236,94.533
1e+05,10,85.18,9.385,94.613
1e+05,10,85.014,9.235,94.279
1e+05,10,85.067,9.218,94.329
1e+05,10,85.165,9.23,94.437
250000,10,212.154,16.089,228.335
250000,10,212.092,15.999,228.161
250000,10,212.318,16.074,228.466
250000,10,212.202,16.157,228.445
250000,10,212.101,16.04,228.343
5e+05,10,421.514,28.781,450.456
5e+05,10,422.251,28.891,451.29
5e+05,10,422.175,28.788,451.088
5e+05,10,421.111,28.714,449.975
5e+05,10,422.329,28.994,451.474
1e+06,10,842.151,54.669,897.053
1e+06,10,841.346,54.775,896.636
1e+06,10,841.096,54.791,896.144
1e+06,10,849.585,48.232,899.354
1e+06,10,839.86,55.034,895.224
1250000,10,1043.614,69.215,1113.152
1250000,10,1043.608,69.567,1114.577
1250000,10,1042.591,69.524,1112.839
1250000,10,1042.323,69.321,1111.926
1250000,10,1044.276,69.522,1114.108
1500000,10,1244.984,83.908,1329.308
1500000,10,1245.006,83.55,1328.908
1500000,10,1246.729,83.981,1331.142
1500000,10,1247.614,83.957,1331.866
1500000,10,1245.099,84.075,1329.545
2e+06,10,1661.934,111.44,1773.926
2e+06,10,1659.342,110.475,1771.461
2e+06,10,1658.903,109.583,1769.043
2e+06,10,1661.043,110.467,1771.946
2e+06,10,1659.771,112.061,1772.455
100,5,0.045,0.0809999999999995,0.167999999999999
100,5,0.047,0.0759999999999987,0.134
100,5,0.042,0.0849999999999991,0.136999999999999
100,5,0.051,0.0760000000000005,0.140000000000001
100,5,0.046,0.0800000000000001,0.138999999999999
1000,5,0.066,0.0950000000000006,0.173999999999999
1000,5,0.0840000000000001,0.081999999999999,0.175999999999998
1000,5,0.07,0.093,0.176
1000,5,0.067,0.097999999999999,0.177999999999999
1000,5,0.0640000000000001,0.103,0.185
5000,5,0.139,0.118,0.271000000000001
5000,5,0.156,0.116,0.285
5000,5,0.141,0.114999999999998,0.269
5000,5,0.154,0.113,0.279
5000,5,0.152,0.106,0.273999999999999
10000,5,0.246,0.125,0.382000000000001
10000,5,0.232,0.139999999999999,0.387
10000,5,0.256,0.114000000000001,0.382
10000,5,0.256,0.123000000000001,0.393000000000001
10000,5,0.25,0.115,0.378
1e+05,5,2.324,0.239000000000001,2.576
1e+05,5,2.236,0.241,2.493
1e+05,5,2.249,0.247999999999999,2.51
1e+05,5,2.196,0.252000000000001,2.461
1e+05,5,2.204,0.238999999999999,2.454
250000,5,5.501,0.458,5.974
250000,5,5.477,0.436999999999999,5.926
250000,5,5.446,0.449,5.909
250000,5,5.467,0.438000000000001,5.918
250000,5,5.463,0.437000000000001,5.912
5e+05,5,10.79,0.812999999999999,11.617
5e+05,5,10.772,0.818,11.609
5e+05,5,10.778,0.785,11.58
5e+05,5,10.702,0.812999999999999,11.533
5e+05,5,10.719,0.835000000000001,11.57
1e+06,5,21.469,1.564,23.052
1e+06,5,21.459,1.65,23.135
1e+06,5,21.449,1.586,23.053
1e+06,5,21.456,1.569,23.042
1e+06,5,21.451,1.607,23.081
1250000,5,26.771,1.984,28.773
1250000,5,26.731,1.984,28.746
1250000,5,26.706,1.995,28.725
1250000,5,26.698,2.025,28.751
1250000,5,26.852,1.979,28.853
1500000,5,32.048,2.392,34.465
1500000,5,32.043,2.319,34.381
1500000,5,32.165,2.348,34.536
1500000,5,32.098,2.396,34.515
1500000,5,32.015,2.336,34.37
2e+06,5,42.599,3.161,46.016
2e+06,5,42.785,3.127,45.935
2e+06,5,42.646,3.154,45.833
2e+06,5,42.659,3.123,45.886
2e+06,5,42.647,3.126,45.795
100,11,4.885,7.244,12.163
100,11,5,7.266,12.296
100,11,4.793,7.306,12.123
100,11,4.86,7.289,12.167
100,11,4.815,7.268,12.107
100,12,10.829,15.454,26.31
100,12,10.892,15.354,26.273
100,12,11.003,15.476,26.512
100,12,10.844,14.984,25.855
100,12,10.622,15.149,25.8
100,13,24.181,31.829,56.06
100,13,24.081,32.117,56.253
100,13,23.603,31.332,55.008
100,13,24.589,32.157,56.792
100,13,24.125,31.606,55.777
