"n","k","usrtime","systime","elapstime","wrap"
"100","10","3.117","3.616","6.735","R"
"100","10","3.092","3.613","6.713","R"
"100","10","3.164","3.602","6.77","R"
"100","10","3.127","3.624","6.756","R"
"100","10","3.102","3.602","6.707","R"
"100","10","2.201","3.569","5.82","C"
"100","10","2.24","3.544","5.789","C"
"100","10","2.211","3.564","5.77799999999999","C"
"100","10","2.263","3.503","5.77000000000001","C"
"100","10","2.225","3.529","5.756","C"
"100","10","1.807","2.27499999999999","4.09700000000001","CS"
"100","10","1.778","2.28400000000001","4.06400000000001","CS"
"100","10","1.81","2.262","4.074","CS"
"100","10","1.786","2.27800000000001","4.06400000000001","CS"
"100","10","1.824","2.23299999999999","4.05899999999998","CS"
"100","11","6.811","7.357","14.189","R"
"100","11","6.751","7.39800000000001","14.161","R"
"100","11","6.729","7.44200000000001","14.182","R"
"100","11","6.669","7.47399999999999","14.153","R"
"100","11","6.717","7.485","14.212","R"
"100","11","4.77900000000001","7.42099999999999","12.216","C"
"100","11","4.80800000000001","7.35900000000001","12.178","C"
"100","11","4.812","7.32599999999999","12.145","C"
"100","11","4.736","7.39099999999999","12.135","C"
"100","11","4.851","7.27000000000001","12.131","C"
"100","11","3.86999999999999","4.77799999999999","8.65600000000001","CS"
"100","11","3.854","4.822","8.68200000000002","CS"
"100","11","3.77200000000001","4.89599999999999","8.67500000000001","CS"
"100","11","3.854","4.804","8.666","CS"
"100","11","3.91199999999999","4.72800000000001","8.64600000000002","CS"
"100","12","14.438","15.325","29.779","R"
"100","12","14.195","15.503","29.716","R"
"100","12","14.214","15.353","29.582","R"
"100","12","14.342","15.308","29.665","R"
"100","12","14.188","15.4930000000001","29.695","R"
"100","12","10.559","15.302","25.881","C"
"100","12","10.466","15.383","25.866","C"
"100","12","10.534","15.327","25.876","C"
"100","12","10.438","15.429","25.891","C"
"100","12","10.459","15.314","25.8000000000001","C"
"100","12","8.14099999999999","10.367","18.5139999999999","CS"
"100","12","8.27999999999997","10.184","18.481","CS"
"100","12","8.22399999999999","10.272","18.51","CS"
"100","12","8.185","10.274","18.474","CS"
"100","12","8.18799999999999","10.272","18.472","CS"
"100","13","30.637","32.16","62.8339999999999","R"
"100","13","30.974","31.904","62.9069999999999","R"
"100","13","30.985","31.961","62.977","R"
"100","13","31.181","31.8199999999999","63.037","R"
"100","13","31.015","31.989","63.0360000000001","R"
"100","13","23.433","31.726","55.1980000000001","C"
"100","13","23.412","31.701","55.155","C"
"100","13","23.202","31.784","55.03","C"
"100","13","23.192","31.626","54.8579999999999","C"
"100","13","22.865","31.749","54.6420000000001","C"
"100","13","17.4930000000001","21.764","39.2839999999999","CS"
"100","13","17.2829999999999","21.991","39.289","CS"
"100","13","17.3050000000001","21.9589999999999","39.296","CS"
"100","13","17.1700000000001","22.0889999999999","39.29","CS"
"100","13","17.437","21.867","39.327","CS"
"100","5","0.0789999999999509","0.0760000000000218","0.1550000000002","R"
"100","5","0.0639999999999645","0.0910000000000082","0.153999999999996","R"
"100","5","0.0749999999999318","0.0800000000000409","0.154999999999973","R"
"100","5","0.0699999999999363","0.0839999999999463","0.153999999999996","R"
"100","5","0.0819999999999936","0.0729999999999791","0.155999999999949","R"
"100","5","0.0410000000000537","0.0879999999999654","0.129000000000133","C"
"100","5","0.0510000000000446","0.0779999999999745","0.129000000000133","C"
"100","5","0.0399999999999636","0.0890000000000555","0.129000000000133","C"
"100","5","0.0510000000000446","0.0779999999999745","0.127999999999929","C"
"100","5","0.05600000000004","0.0720000000000027","0.127999999999929","C"
"100","5","0.0349999999999682","0.0490000000000919","0.0839999999998327","CS"
"100","5","0.0400000000000773","0.0430000000000064","0.08400000000006","CS"
"100","5","0.0410000000000537","0.0430000000000064","0.0829999999998563","CS"
"100","5","0.0349999999999682","0.0480000000000018","0.0830000000000837","CS"
"100","5","0.0389999999999873","0.0439999999999827","0.0839999999998327","CS"
"1000","10","3.84299999999996","4.15999999999997","8.00299999999993","R"
"1000","10","3.86500000000001","4.154","8.02199999999993","R"
"1000","10","3.86299999999994","4.14099999999996","8.01099999999997","R"
"1000","10","3.90300000000002","4.10500000000002","8.01099999999997","R"
"1000","10","4.06399999999996","4.03599999999994","8.10599999999999","R"
"1000","10","2.96900000000005","4.05600000000004","7.02700000000004","C"
"1000","10","2.923","4.11300000000006","7.04300000000012","C"
"1000","10","2.94299999999998","4.07900000000006","7.02499999999986","C"
"1000","10","2.84899999999993","4.19099999999992","7.04399999999987","C"
"1000","10","2.85800000000006","4.17699999999991","7.03999999999996","C"
"1000","10","1.76600000000008","2.36599999999999","4.13400000000001","CS"
"1000","10","1.8180000000001","2.31999999999994","4.14099999999985","CS"
"1000","10","1.85399999999993","2.28899999999999","4.14400000000001","CS"
"1000","10","1.85199999999998","2.28099999999995","4.13599999999997","CS"
"1000","10","1.875","2.26999999999998","4.14799999999991","CS"
"1000","11","8.34199999999998","8.70299999999997","17.0550000000001","R"
"1000","11","8.58100000000002","8.58999999999992","17.1849999999999","R"
"1000","11","8.60500000000002","8.51700000000005","17.133","R"
"1000","11","8.40499999999997","8.68299999999999","17.095","R"
"1000","11","8.50400000000002","8.55700000000002","17.066","R"
"1000","11","6.35599999999999","8.53200000000015","14.8970000000002","C"
"1000","11","6.22900000000004","8.67900000000009","14.914","C"
"1000","11","6.29699999999991","8.58500000000004","14.886","C"
"1000","11","6.18000000000006","8.70400000000018","14.8969999999999","C"
"1000","11","6.34000000000003","8.55600000000004","14.9070000000002","C"
"1000","11","4.06899999999996","4.78300000000013","8.86000000000013","CS"
"1000","11","3.91800000000001","4.91100000000006","8.83999999999992","CS"
"1000","11","3.95299999999997","4.87400000000002","8.83600000000001","CS"
"1000","11","3.83299999999997","5.00600000000009","8.84199999999987","CS"
"1000","11","3.96000000000004","4.88499999999999","8.84699999999998","CS"
"1000","12","18.327","17.8820000000001","36.2239999999999","R"
"1000","12","18.284","17.9910000000002","36.2910000000002","R"
"1000","12","18.4770000000001","17.9110000000001","36.3939999999998","R"
"1000","12","18.45","17.7550000000001","36.223","R"
"1000","12","18.862","17.5510000000002","36.4159999999997","R"
"1000","12","13.7579999999999","17.759","31.5370000000003","C"
"1000","12","13.683","17.867","31.569","C"
"1000","12","13.89","17.671","31.5790000000002","C"
"1000","12","13.897","17.6329999999998","31.5460000000003","C"
"1000","12","13.9090000000001","17.6320000000001","31.556","C"
"1000","12","8.31200000000001","10.521","18.8429999999998","CS"
"1000","12","8.39800000000002","10.462","18.873","CS"
"1000","12","8.24199999999996","10.576","18.8310000000001","CS"
"1000","12","8.43900000000008","10.4180000000001","18.864","CS"
"1000","12","8.43299999999999","10.4559999999999","18.9069999999997","CS"
"1000","13","41.2090000000001","36.8579999999999","78.0990000000002","R"
"1000","13","41.1079999999999","36.9479999999999","78.0930000000003","R"
"1000","13","41.261","36.778","78.069","R"
"1000","13","40.9069999999999","36.8709999999999","77.8240000000001","R"
"1000","13","41.4350000000002","36.6799999999998","78.1469999999999","R"
"1000","13","31.05","36.825","67.9119999999998","C"
"1000","13","30.694","37.1070000000002","67.8389999999999","C"
"1000","13","31.258","36.596","67.9029999999998","C"
"1000","13","31.3390000000002","36.4110000000001","67.7939999999999","C"
"1000","13","31.162","36.6310000000001","67.8220000000001","C"
"1000","13","17.7440000000001","22.326","40.0989999999997","CS"
"1000","13","18.0629999999999","22.037","40.1190000000001","CS"
"1000","13","17.5319999999999","22.5129999999999","40.0750000000003","CS"
"1000","13","17.8429999999998","22.2559999999999","40.1179999999999","CS"
"1000","13","17.8719999999998","22.278","40.174","CS"
"1000","5","0.0879999999999654","0.0989999999999327","0.186000000000149","R"
"1000","5","0.0799999999999272","0.106999999999971","0.186999999999898","R"
"1000","5","0.0739999999998417","0.11200000000008","0.186000000000149","R"
"1000","5","0.0789999999999509","0.107999999999947","0.187000000000353","R"
"1000","5","0.0769999999999982","0.108999999999924","0.186000000000149","R"
"1000","5","0.0760000000000218","0.0919999999998709","0.16800000000012","C"
"1000","5","0.0609999999999218","0.106999999999971","0.167000000000371","C"
"1000","5","0.0670000000000073","0.100999999999885","0.167000000000371","C"
"1000","5","0.0599999999999454","0.106999999999971","0.16800000000012","C"
"1000","5","0.0740000000000691","0.0929999999998472","0.16800000000012","C"
"1000","5","0.0499999999999545","0.0370000000000346","0.0869999999999891","CS"
